nu_mu,,nu_e_mub,
X,Y,X,Y
12.242831242860689,0.18854497431767747,20.977857189664462,0.00786642308825769
23.53242295897462,0.38215965183865386,48.024305814180536,0.00834490596298032
31.68312998173866,0.663182897366676,75.07828686961682,0.03825008563303456
26.019809242759777,0.4940050238046556,102.13517679065245,0.07951923357770774
40.90127646333826,0.9976747054031865,129.19344459539303,0.12617131386299185
57.13927019142443,1.4644281040979052,156.2573770331428,0.19495322710411678
64.87434357636153,1.7988676967413415,183.32804579122774,0.29005169845488865
58.27667916802773,1.63877530157432,210.39794905836555,0.38215965183865386
74.24103661392496,2.2562745400756903,237.46907711101875,0.4790524339696294
70.67712218513765,2.055454138310404,264.54495120754467,0.5944864274960366
69.42192116267239,1.9545739988900888,291.61990671493385,0.7063317994620384
82.30775348393774,2.6665830988566626,318.6919533567238,0.8068132031534194
78.14966619700994,2.4315616146274497,345.7692053369546,0.9276301290204376
91.85482219104904,3.1425472928897573,372.8450794334804,1.0430641225468467
88.59820426098298,2.907233402459328,399.9166667807021,1.141751215458024
85.62277156891014,2.8098621374536314,426.9897851098179,1.2464193443032112
102.2075922342562,3.5642701365968597,454.0642813226388,1.356470405489011
98.04903714730511,3.3274211136100327,481.13769819322425,1.4623048363413318
95.57568486421837,3.270401904372463,508.204891622409,1.5438263561218992
113.22501255053982,4.0210817244501555,535.2767468914622,1.6435601303215286
107.99745956238985,3.7704165084557637,562.3391483473174,1.706361007628642
105.52186183919133,3.7046251131816454,589.3991002321418,1.7595922274413365
124.57086590716784,4.4802325619131995,616.4544591712831,1.7948803394520016
120.41137522017021,4.239728461411143,643.5078278339615,1.8223931047484516
117.93690021702758,4.178323159155299,670.5575221400936,1.835551383803276
130.34997383476605,4.644345542346973,697.6010925186483,1.8247855191220559
136.75866039940962,4.980978181499546,724.6440505044454,1.8116272400672315
131.61836681788782,4.796762274732014,751.6851713119688,1.7912917178915961
144.46920769741183,5.3720714756290295,778.7256797267346,1.7685637813423547
140.30844459435087,5.1265964697062625,805.7672598288266,1.7500225699469212
