IBD,,nue_e-,,nueb_e-,,nux_e-,,nuxb_e-,,conNC-p,,nue_Ar,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
5.196366898407717,0.00013389938254618558,5.266557288039568,0.000004421735506529588,5.447350715879182,0.0000019309784546656787,5.234652565479635,7.39875013695295e-7,5.294208047591509,6.15486948604202e-7,5.2006208614157075,0.000055087851833665986,5.417572974823246,0.00521429508944303
5.72518767483859,0.0001659057456674818,6.255603687397459,0.000005390114893627776,6.2077466035575615,0.000002287458075309509,6.2875084099573915,9.032503217955595e-7,5.777032848998479,6.585862593079207e-7,5.6494139587587515,0.00006145849484428997,6.023569341507045,0.006390227227348476
6.200302168293577,0.00020481833390522154,7.072364584931719,0.0000061178039938395304,6.957507583715964,0.0000025159888503139944,7.404173699555011,0.00000102096861735514,6.478936745316984,7.71110502733077e-7,6.220153995664203,0.00007938504362952262,6.702269803236508,0.007937527805607905
6.676746025188562,0.0002479376853043298,7.53179258979474,0.000006433196217041944,7.712586017634354,0.000002793617974736224,8.552743711712564,0.0000012349928743854021,7.421898545421641,8.73001187864475e-7,6.957507583715964,0.00009865215273325721,7.404173699555011,0.009690250936936214
7.199983475171448,0.00030655357290992815,8.552743711712564,0.0000074527126160885275,8.498049901609823,0.0000031547384225823346,9.676498939656835,0.0000013420742484778469,7.946553983073857,9.323807848140166e-7,7.659411480034468,0.00011386977513311127,8.106077595873517,0.011617362374134613
7.818935092834128,0.0003786834799908292,9.701313723870115,0.000008524671365143954,9.272878878065313,0.0000034186002899937376,10.945597903707466,0.0000015442307187447518,8.744172047072157,0.0000010436708653436924,7.812554148322143,0.00012788596093957444,8.80798149219202,0.013677376364289255
8.4889342665927,0.00046021080463118174,10.8817884585876,0.000009601636329742074,9.92464678178964,0.0000037201627739629832,12.051628285785107,0.0000017498449860266003,9.701313723870115,0.0000011746511712310451,8.680362601952291,0.000156537508466379,9.509885388510526,0.015917881336860357
9.190838162911206,0.0005572191145526951,12.062263193305085,0.000010738251484661474,10.798836179931776,0.000004023750599321887,13.2746426505825,0.000002001505927309515,10.24369400738896,0.0000011946730918796485,9.275917423071025,0.0001741275262346713,10.211789284829027,0.01831280756324543
9.892742059229708,0.0006614573337972361,13.2746426505825,0.000011864746201928971,11.633828347500284,0.0000043276546016440195,14.35940321762019,0.0000021949181506884094,11.073216793947193,0.000001359485241558193,10.029476584486563,0.00020504843946734632,10.913693181147533,0.020895079692562796
10.594645955548213,0.0007729912635861338,14.51892683041985,0.00001293975447850413,12.381310418904405,0.000004626854996680026,15.667496842577403,0.0000024126402486831616,12.062263193305085,0.0000014796699066906619,10.786074290907806,0.0002367897880191475,11.615597077466038,0.023606763517514714
11.296549851866718,0.0008856333658224694,15.731306287697265,0.000014078463344313138,13.168293575382727,0.000005006704182209357,19.559872994889105,0.000002958772989490209,12.63654819938386,0.0000015251432737012037,11.373121186010554,0.00026085480801817985,12.31750097378454,0.026495029785884572
11.99845374818522,0.0010214046002843384,16.816066854734952,0.000015578892265300794,13.976546546901005,0.000005310715038936464,20.644633561926796,0.0000031526954852075916,13.497975708502025,0.0000016446959977574574,12.075025082329056,0.00029886718323870434,13.019404870103045,0.029443924279357343
12.700357644503725,0.0011741117155072878,17.996541589452438,0.00001644014913036557,14.731624980819394,0.00000554868012984297,21.825108296644277,0.000003326844088182407,14.55083155297978,0.000001750686746474388,12.891785979863318,0.0003411789000504608,13.72130876642155,0.03277502910642409
13.40226154082223,0.0013286725200806972,19.272730491849718,0.0000175813242016338,15.539877952337672,0.000005841287308993002,23.13320192160149,0.000003531139258192235,15.093211836498625,0.0000018296351149469974,13.40226154082223,0.0003596053906555278,14.423212662740053,0.036004896753254426
14.104165437140733,0.0014239499690307366,20.644633561926796,0.000018631970439613574,16.720352687055158,0.000006503028209396538,24.37748610143884,0.0000037193960749544844,16.975590467534612,0.000002085050132953096,14.31154613378029,0.00042126483762729047,15.125116559058558,0.03952046053865329
14.806069333459238,0.0015655656041497368,21.888917741764143,0.000019732383393088758,17.762573624012937,0.000006743263654537872,25.621770281276188,0.000003883921239219025,17.517970751053458,0.0000021443241432155775,15.125116559058558,0.0004663218020989373,15.827020455377063,0.04309411525188068
15.507973229777743,0.0017731189016071901,23.13320192160149,0.000020925372348213816,18.602731318091145,0.000007066749652861885,26.841512366836664,0.000003981309059187796,18.443207705291485,0.000002230271902827753,15.667496842577403,0.0004903737228770862,16.528924351695565,0.046913499152521174
16.209877126096245,0.0019462484800757895,24.37748610143884,0.000022037339708214245,19.92358683207233,0.000007702587663883408,28.110338640950882,0.000004271948255073725,19.719396607688765,0.0000023967796775526335,16.43321018401577,0.000551733460845019,17.23082824801407,0.05081937785269957
16.91178102241475,0.002120489867106828,25.621770281276188,0.00002285301512280219,20.702062062534672,0.000007872077323178705,29.386527543348162,0.0000044418314400608035,20.134158000967883,0.0000024236052324549523,17.422256583373663,0.0006212830617025253,17.932732144332576,0.054823982041252335
17.613684918733256,0.0023046232873530697,26.86605446111354,0.000024369246741723966,21.495426163524982,0.000008195030827249797,30.598907000625584,0.000004688100317781468,20.867966619846317,0.0000025475594201728016,17.964636866892505,0.000647607261103772,18.634636040651078,0.05899804740386718
18.315588815051758,0.0024862292900145098,28.110338640950882,0.000025499709533908486,22.412155191747026,0.000008650696147994832,31.875095903022864,0.000004828335387880126,21.888917741764143,0.000002723497176537185,18.762254930890805,0.0007177107755631054,19.336539936969583,0.06328087460816834
